"","FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","NUM_CLUSTERS","N_MONOMERS","FILE_RECYCLE","RANK","V1","Entry.Name","Gene.Names","Gene.Names..primary.","Gene.Names..synonym.","Organism","Organism..ID.","Protein.names","Proteomes","Taxonomic.lineage"
"1","IRAK1_O54692_x1",5,"model_5_multimer_v3_p1_230420_772643_recycled_00",9999,61.99,0.4565,0.3668,0.2248,124,187,2,2,"IRAK1_O54692_x1_5_model_5_multimer_v3_p1_230420_772643_recycled_00",1,"O54692","ZW10_MOUSE","Zw10","Zw10",NA,"Mus musculus (Mouse)",10090,"Centromere/kinetochore protein zw10 homolog","UP000000589: Chromosome 9","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"2","IRAK1_P17918_x1",2,"model_2_multimer_v3_p1_230420_662030_recycled_09",4.08,63.61,0.4125,0.4803,0.2288,80,115,1,2,"IRAK1_P17918_x1_2_model_2_multimer_v3_p1_230420_662030_recycled_09",1,"P17918","PCNA_MOUSE","Pcna","Pcna",NA,"Mus musculus (Mouse)",10090,"Proliferating cell nuclear antigen (PCNA) (Cyclin)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"3","IRAK1_P22366_x1",1,"model_1_multimer_v3_p1_230420_262523_recycled_14",3.38,63.85,0.5288,0.5236,0.4311,126,145,1,2,"IRAK1_P22366_x1_1_model_1_multimer_v3_p1_230420_262523_recycled_14",1,"P22366","MYD88_MOUSE","Myd88","Myd88",NA,"Mus musculus (Mouse)",10090,"Myeloid differentiation primary response protein MyD88","UP000000589: Chromosome 9","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"4","IRAK1_P28063_x1",5,"model_5_multimer_v3_p1_230420_933533_recycled_02",14.18,58.85,0.4013,0.271,0.1017,75,88,1,2,"IRAK1_P28063_x1_5_model_5_multimer_v3_p1_230420_933533_recycled_02",1,"P28063","PSB8_MOUSE","Psmb8 Lmp7 Mc13","Psmb8","Lmp7 Mc13","Mus musculus (Mouse)",10090,"Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i)","UP000000589: Chromosome 17","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"5","IRAK1_P35492_x1",5,"model_5_multimer_v3_p1_230421_292542_recycled_01",63.51,68.04,0.487,0.3819,0.2414,221,662,2,2,"IRAK1_P35492_x1_5_model_5_multimer_v3_p1_230421_292542_recycled_01",1,"P35492","HUTH_MOUSE","Hal Hsd Huth","Hal","Hsd Huth","Mus musculus (Mouse)",10090,"Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)","UP000000589: Chromosome 10","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"6","IRAK1_Q3TWL2_x1",4,"model_4_multimer_v3_p1_230420_121078_recycled_16",2.89,53.45,0.4066,0.3524,0.2479,106,124,1,2,"IRAK1_Q3TWL2_x1_4_model_4_multimer_v3_p1_230420_121078_recycled_16",1,"Q3TWL2","PP4P1_MOUSE","Pip4p1 Tmem55b","Pip4p1","Tmem55b","Mus musculus (Mouse)",10090,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)","UP000000589: Chromosome 14","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"7","IRAK1_Q3TYS2_x1",3,"model_3_multimer_v3_p1_230408_785408_recycled_00",9999,59.2,0.489,0.3837,0.1683,52,63,1,2,"IRAK1_Q3TYS2_x1_3_model_3_multimer_v3_p1_230408_785408_recycled_00",1,"Q3TYS2","CYBC1_MOUSE","Cybc1 Eros","Cybc1","Eros","Mus musculus (Mouse)",10090,"Cytochrome b-245 chaperone 1 (Essential for reactive oxygen species protein) (Eros)","UP000000589: Chromosome 11","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"8","IRAK1_Q3UKC1_x1",2,"model_2_multimer_v3_p1_230409_887021_recycled_00",9999,51.62,0.3321,0.3676,0.2099,72,202,1,2,"IRAK1_Q3UKC1_x1_2_model_2_multimer_v3_p1_230409_887021_recycled_00",1,"Q3UKC1","TAXB1_MOUSE","Tax1bp1","Tax1bp1",NA,"Mus musculus (Mouse)",10090,"Tax1-binding protein 1 homolog","UP000000589: Chromosome 6","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"9","IRAK1_Q5RI75_x1",1,"model_1_multimer_v3_p1_230420_988882_recycled_00",9999,50.91,0.37,0.3337,0.2434,193,269,1,2,"IRAK1_Q5RI75_x1_1_model_1_multimer_v3_p1_230420_988882_recycled_00",1,"Q5RI75","RASEF_MOUSE","Rasef","Rasef",NA,"Mus musculus (Mouse)",10090,"Ras and EF-hand domain-containing protein homolog","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"10","IRAK1_Q60592_x1",4,"model_4_multimer_v3_p1_230421_632665_recycled_01",77.19,36.72,0.3122,0.2927,0.2232,295,621,1,2,"IRAK1_Q60592_x1_4_model_4_multimer_v3_p1_230421_632665_recycled_01",1,"Q60592","MAST2_MOUSE","Mast2 Mast205","Mast2","Mast205","Mus musculus (Mouse)",10090,"Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)","UP000000589: Unplaced","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
