Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.15.min,N:.Valid.values.30.min,N:.Valid.values.60.min,N:.Valid.values.unstim,15.min.FG.167.neu,15.min.FG.168.neu,15.min.FG.169.neu,15.min.FG.170.neu,30.min.FG171.neu,30.min.FG172.neu,30.min.FG173.neu,30.min.FG174.neu,60.min.FG175.neu,60.min.FG176.neu,60.min.FG177.neu,60.min.FG178.neu,unstim.FG163.neu,unstim.FG164.neu,unstim.FG165.neu,unstim.FG166.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,1.78256331105686,2.84514999389648,A2AI08,A2AI08,Taperin,Tprn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,15,80.088,16,4,4,4,4,16.6126689910889,17.2629680633545,17.6191692352295,17.1090679168701,15.7869682312012,15.3444681167603,14.6989688873291,15.2389688491821,14.7918682098389,14.2697687149048,14.0731687545776,14.2334690093994,9.14106845855713,11.4656686782837,12.3354692459106,13.0454683303833,60,MYD88,IRAK1
TRUE,1.52059009339025,2.75942516326904,A2AKG8,A2AKG8,Focadhesin,Focad,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,11,198.95,16,4,4,4,4,15.0618686676025,15.612268447876,15.7111682891846,14.6521682739258,14.0538692474365,13.8468685150146,13.0399684906006,14.4543685913086,13.6816692352295,17.5081691741943,17.5689678192139,17.574369430542,13.6067686080933,13.5935688018799,13.9446687698364,14.1504688262939,60,MYD88,IRAK1
TRUE,3.0838044677668,2.59155011177063,CON__Q3SX14,CON__Q3SX14,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,18,85.686,16,4,4,4,4,17.1292686462402,17.4431686401367,17.8467693328857,17.549768447876,17.4150676727295,17.0339679718018,17.1740684509277,17.366569519043,17.0596694946289,16.0793685913086,15.7386684417725,16.9575691223145,13.3294687271118,13.5837688446045,14.0229692459106,14.5328683853149,60,MYD88,IRAK1
TRUE,1.43600902270395,3.10769995053609,G3X9J0,G3X9J0,NA,Sipa1l3,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,23,195.06,15,4,4,4,3,15.5549688339233,16.0085678100586,16.5830688476563,16.652868270874,14.8173685073853,14.0066690444946,13.2619686126709,14.6283683776855,13.6803684234619,12.8800687789917,12.6570692062378,13.5085687637329,7.57281875610352,NA,10.9877691268921,11.6608686447144,60,MYD88,IRAK1
TRUE,1.74974568898911,7.18454933166504,O08638,O08638,Myosin-11,Myh11,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,19,227.03,12,4,4,2,2,18.0068683624268,15.2419681549072,18.8661689758301,18.35546875,18.5452690124512,13.4990692138672,19.3154678344727,18.8655681610107,18.5270690917969,NA,NA,17.932767868042,10.120569229126,11.9701690673828,NA,NA,60,MYD88,IRAK1
TRUE,1.56122875315009,2.61069989204407,O88342,O88342,WD repeat-containing protein 1,Wdr1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,9,66.406,16,4,4,4,4,16.5144691467285,16.431568145752,16.9784679412842,16.5477676391602,16.3297691345215,15.2313690185547,15.4705686569214,14.6959686279297,15.3304681777954,15.7631683349609,14.8682689666748,16.8262691497803,10.8617687225342,13.5425691604614,13.2891683578491,14.6518688201904,60,MYD88,IRAK1
TRUE,2.35626936304861,2.2794246673584,P01831,P01831,Thy-1 membrane glycoprotein,Thy1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,4,18.08,16,4,4,4,4,22.0371685028076,22.2003688812256,22.2025680541992,22.1933689117432,22.2624683380127,22.1998691558838,22.3492679595947,22.5439682006836,22.1894683837891,21.4377689361572,21.529369354248,21.5385684967041,18.1271686553955,20.0356693267822,19.1608695983887,20.2537689208984,60,MYD88,IRAK1
TRUE,1.75463154921385,-2.57755788167318,P11031,P11031,Activated RNA polymerase II transcriptional coactivator p15,Sub1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,14.427,15,4,4,3,4,17.6616687774658,17.0980682373047,17.7910690307617,17.2092685699463,18.2988681793213,18.8346691131592,14.5917682647705,15.624568939209,15.1411685943604,NA,14.7480688095093,17.4079685211182,18.1260681152344,18.9770679473877,18.0030689239502,18.2669677734375,60,MYD88,IRAK1
TRUE,3.0130259766618,2.06810021400452,P16546,P16546,"Spectrin alpha chain, non-erythrocytic 1",Sptan1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,95,284.59,16,4,4,4,4,18.7650680541992,19.5004692077637,20.3163681030273,19.591968536377,18.4923686981201,18.2112693786621,18.0722694396973,18.4569683074951,18.2368679046631,17.9644680023193,17.3892688751221,17.8131694793701,14.9793682098389,15.8552684783936,15.8889684677124,16.4077682495117,60,MYD88,IRAK1
TRUE,2.14173956485365,2.02064967155457,P23242,P23242,Gap junction alpha-1 protein,Gja1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,43.004,14,4,4,4,2,11.5716686248779,14.9826688766479,15.0868682861328,15.2644681930542,15.2799682617188,12.5914688110352,13.2551689147949,12.7165689468384,15.0251684188843,13.7620687484741,14.3623685836792,14.1166687011719,NA,12.3203687667847,12.2714691162109,NA,60,MYD88,IRAK1
