Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Peptides,Valid.values,Valid.values.60.min,Valid.values.unstim,60.min.stim.FG159.neu,60.min.stim.FG160.neu,60.min.stim.FG161.neu,60.min.stim.FG162.neu,unstim.FG10.neu,unstim.FG11.neu,unstim.FG12.neu,unstim.FG9.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.586958263688728,-1.02925992012024,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,NA,5,6,2,4,NA,NA,11.3098001480103,9.95203018188477,11.2267999649048,10.7885999679565,12.835599899292,11.7897005081177,60,MYD88,NONE
TRUE,2.70612188184365,-1.82572484016418,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,NA,36,8,4,4,15.1202001571655,15.9261999130249,15.6526002883911,16.6184005737305,17.773099899292,17.1849994659424,17.7968006134033,17.8654003143311,60,MYD88,NONE
FALSE,0.356817903261932,0.379469871520996,A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,NA,3,6,4,2,8.85820007324219,9.85393047332764,9.61100006103516,9.8195104598999,NA,NA,9.60286045074463,8.70952033996582,60,MYD88,NONE
FALSE,0.902921324648871,-0.977049827575684,A2A5Z6;Q9CUN6,A2A5Z6,E3 ubiquitin-protein ligase SMURF2,Smurf2,NA,3,5,3,2,10.2276000976563,10.943699836731,NA,11.3819999694824,NA,12.0411996841431,NA,11.6150999069214,60,MYD88,NONE
FALSE,0.412955069241353,-0.210875272750854,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,NA,12,8,4,4,14.4340000152588,14.9794998168945,14.4316997528076,15.1956996917725,15.2749004364014,14.8245000839233,15.0221996307373,14.7628002166748,60,MYD88,NONE
TRUE,1.44372294996528,-1.34940028190613,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,NA,11,8,4,4,12.9811000823975,14.9252996444702,14.8544998168945,14.2578001022339,16.1798000335693,15.1500005722046,15.6856002807617,15.400899887085,60,MYD88,NONE
FALSE,0,-1.16726652781169,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,NA,15,4,3,1,12.3004999160767,10.8406000137329,11.6365003585815,NA,NA,12.7597999572754,NA,NA,60,MYD88,NONE
TRUE,3.18524815719765,-1.43874979019165,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,NA,8,8,4,4,15.805700302124,16.8227005004883,16.5258007049561,16.1961994171143,17.7789001464844,17.6637001037598,17.869800567627,17.7929992675781,60,MYD88,NONE
TRUE,2.16061326214533,-2.66657495498657,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,NA,10,8,4,4,14.5897998809814,13.5206003189087,11.5998001098633,12.5065002441406,16.1686992645264,15.5592002868652,15.6259002685547,15.529200553894,60,MYD88,NONE
FALSE,2.28957319046076,-0.921874761581421,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,NA,34,8,4,4,15.2305002212524,15.3599996566772,14.7304000854492,15.7328004837036,16.1670989990234,16.0905990600586,16.1347007751465,16.3488006591797,60,MYD88,NONE
TRUE,4.15553615076171,-2.29782438278198,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,NA,10,8,4,4,14.0374002456665,14.7221002578735,13.6363000869751,13.8431997299194,16.2780990600586,16.4057006835938,16.3391990661621,16.407299041748,60,MYD88,NONE
TRUE,4.58048238533481,-2.59077525138855,A2AI08,A2AI08,Taperin,Tprn,NA,20,8,4,4,15.7455997467041,16.6642990112305,15.8970003128052,16.4438991546631,18.788200378418,18.8561992645264,18.854700088501,18.6147994995117,60,MYD88,NONE
TRUE,2.75475060673489,-1.86014986038208,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,NA,25,8,4,4,13.9928998947144,14.1628999710083,14.1732997894287,14.657600402832,15.5418996810913,15.6773996353149,16.9293994903564,16.278600692749,60,MYD88,NONE
FALSE,0.141797517969896,-0.250117301940918,A2AJ88,A2AJ88,Patatin-like phospholipase domain-containing protein 7,Pnpla7,NA,4,6,4,2,10.3092002868652,10.3180103302002,9.08990001678467,11.1500997543335,10.7108001708984,NA,NA,10.2230396270752,60,MYD88,NONE
TRUE,2.4230497484371,-1.59707522392273,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,NA,16,8,4,4,15.6223001480103,16.8817005157471,15.699800491333,16.6308002471924,17.5900001525879,17.5650005340576,18.1270008087158,17.9409008026123,60,MYD88,NONE
FALSE,1.51401758674842,0.986400127410889,A2AKG8,A2AKG8,Focadhesin,Focad,NA,20,8,4,4,15.6593999862671,17.2453002929688,16.2642993927002,16.6380004882813,15.4238996505737,15.5852003097534,15.1725997924805,15.6796998977661,60,MYD88,NONE
TRUE,2.16455693475898,-1.52305006980896,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,NA,17,8,4,4,13.6457004547119,12.6401996612549,12.7534999847412,11.9837999343872,14.181300163269,13.9029998779297,14.3636999130249,14.6674003601074,60,MYD88,NONE
TRUE,2.3805662139758,-2.8713526725769,A2AL36,A2AL36,Centriolin,Cntrl,NA,9,8,4,4,10.5454998016357,9.88757991790771,11.953800201416,9.20380973815918,12.6464996337891,13.7883996963501,13.07200050354,13.5692005157471,60,MYD88,NONE
FALSE,0.00631341733745245,0.0113335450490322,A2ALW5,A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,NA,3,7,4,3,14.3459005355835,14.1265001296997,13.8990001678467,15.7314004898071,13.8674001693726,NA,14.4017000198364,15.2740001678467,60,MYD88,NONE
FALSE,0.0416400246492506,-0.045799732208252,A2AN08,A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,NA,23,8,4,4,12.472900390625,12.9617004394531,13.6168003082275,12.9358005523682,13.4375,13.0136003494263,13.5180997848511,12.2012004852295,60,MYD88,NONE
FALSE,0.894273779414146,-0.537074565887451,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,NA,29,8,4,4,16.6261005401611,17.7000007629395,16.7066993713379,17.4757995605469,17.4477005004883,17.7756996154785,17.4289989471436,18.0044994354248,60,MYD88,NONE
FALSE,0.459027107296932,0.397924900054932,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,NA,5,8,4,4,14.1374998092651,14.5644998550415,14.2541999816895,14.9695997238159,15.0222997665405,13.3850002288818,14.0546998977661,13.8720998764038,60,MYD88,NONE
FALSE,0.239262971195093,-0.278199434280396,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,NA,8,8,4,4,15.7909002304077,16.8442001342773,15.262900352478,16.9906997680664,15.9131994247437,16.8859996795654,16.7829990386963,16.4193000793457,60,MYD88,NONE
FALSE,0.579451644461361,-0.770857572555542,A2ASS6,A2ASS6,Titin,Ttn,NA,14,8,4,4,10.2013998031616,11.2774000167847,8.82859992980957,10.0609903335571,11.627799987793,9.84051990509033,11.0431003570557,10.9404001235962,60,MYD88,NONE
