Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.15.min,N:.Valid.values.30.min,N:.Valid.values.60.min,N:.Valid.values.unstim,15.min.FG.167.neu,15.min.FG.168.neu,15.min.FG.169.neu,15.min.FG.170.neu,30.min.FG171.neu,30.min.FG172.neu,30.min.FG173.neu,30.min.FG174.neu,60.min.FG175.neu,60.min.FG176.neu,60.min.FG177.neu,60.min.FG178.neu,unstim.FG163.neu,unstim.FG164.neu,unstim.FG165.neu,unstim.FG166.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,2.29019760214594,3.77042484283447,A2AI08,A2AI08,Taperin,Tprn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,15,80.088,16,4,4,4,4,16.6126689910889,17.2629680633545,17.6191692352295,17.1090679168701,15.7869682312012,15.3444681167603,14.6989688873291,15.2389688491821,14.7918682098389,14.2697687149048,14.0731687545776,14.2334690093994,9.14106845855713,11.4656686782837,12.3354692459106,13.0454683303833,30,MYD88,IRAK1
TRUE,2.1858948239151,1.85099983215332,CON__P02538;CON__P07744;P07744;CON__H-INV:HIT000292931,CON__P02538,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,28,60.044,16,4,4,4,4,16.7520694732666,19.8119678497314,20.7008686065674,20.4431686401367,20.0055694580078,20.8719692230225,19.844367980957,20.0297679901123,19.6810684204102,18.0495681762695,18.4692687988281,18.0409679412842,17.2286682128906,18.771068572998,18.3703689575195,18.9775695800781,30,MYD88,IRAK1
TRUE,2.79978861516303,2.72322487831116,CON__P04259,CON__P04259,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,28,59.998,14,3,4,3,4,NA,12.7838687896729,15.1434688568115,15.3025684356689,14.4188690185547,15.8052682876587,16.1395683288574,14.8191690444946,13.7771692276001,12.430869102478,13.5990686416626,NA,11.9468688964844,13.0846691131592,12.2008686065674,13.0575685501099,30,MYD88,IRAK1
TRUE,2.01629239037342,2.5476496219635,CON__Q04695,CON__Q04695,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,15,48.105,16,4,4,4,4,12.5519685745239,15.2418689727783,15.0221681594849,16.8338680267334,16.9147682189941,17.8538684844971,17.9784679412842,16.2470684051514,16.1563682556152,15.1936683654785,16.3375682830811,15.4271688461304,13.3324689865112,14.5561685562134,14.9481687545776,15.9667682647705,30,MYD88,IRAK1
TRUE,2.96451583649402,2.23245000839233,CON__Q28107;O88783,CON__Q28107,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,12,248.98,16,4,4,4,4,14.1669683456421,14.4768686294556,15.1502685546875,14.8488683700562,14.3707685470581,14.7767686843872,13.5790691375732,14.7160682678223,13.8307685852051,13.5409688949585,13.7136688232422,13.4254684448242,11.7520685195923,12.8207683563232,11.6905689239502,12.2494688034058,30,MYD88,IRAK1
TRUE,4.72175725134613,3.38014960289001,CON__Q3SX14,CON__Q3SX14,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,18,85.686,16,4,4,4,4,17.1292686462402,17.4431686401367,17.8467693328857,17.549768447876,17.4150676727295,17.0339679718018,17.1740684509277,17.366569519043,17.0596694946289,16.0793685913086,15.7386684417725,16.9575691223145,13.3294687271118,13.5837688446045,14.0229692459106,14.5328683853149,30,MYD88,IRAK1
TRUE,1.8125003811279,4.1047747929891,G3X9J0,G3X9J0,NA,Sipa1l3,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,23,195.06,15,4,4,4,3,15.5549688339233,16.0085678100586,16.5830688476563,16.652868270874,14.8173685073853,14.0066690444946,13.2619686126709,14.6283683776855,13.6803684234619,12.8800687789917,12.6570692062378,13.5085687637329,7.57281875610352,NA,10.9877691268921,11.6608686447144,30,MYD88,IRAK1
TRUE,3.71699280091944,-4.92321650187174,O08586,O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Pten,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,47.152,15,4,3,4,4,18.7323684692383,18.3227691650391,18.2742691040039,17.8791694641113,12.7782688140869,12.5537691116333,NA,12.7244691848755,16.65966796875,16.4655685424805,16.3404693603516,17.3859691619873,16.6161689758301,18.5245685577393,17.2434692382813,18.0506687164307,30,MYD88,IRAK1
TRUE,1.429201171008,6.51097440719604,O08638,O08638,Myosin-11,Myh11,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,19,227.03,12,4,4,2,2,18.0068683624268,15.2419681549072,18.8661689758301,18.35546875,18.5452690124512,13.4990692138672,19.3154678344727,18.8655681610107,18.5270690917969,NA,NA,17.932767868042,10.120569229126,11.9701690673828,NA,NA,30,MYD88,IRAK1
TRUE,2.50311221704371,1.9446496963501,O35841,O35841,Apoptosis inhibitor 5,Api5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,56.784,16,4,4,4,4,14.7022686004639,14.6659688949585,16.5061683654785,14.3712692260742,14.8498687744141,15.073468208313,15.3747682571411,15.7606687545776,15.7257690429688,15.6728687286377,13.646068572998,15.5384683609009,12.5790691375732,13.7307691574097,12.8657684326172,14.1045684814453,30,MYD88,IRAK1
