MYD88_A2A791_x1,model_1,8.24,52.68,0.2982,0,0,0,0,MYD88_A2A791_x1_model_1_multimer_v2_p1_230328_225521,2,2
MYD88_A2A791_x1,model_2,20.79,49.65,0.3013,0,0,0,0,MYD88_A2A791_x1_model_2_multimer_v2_p1_230329_969045,2,2
MYD88_A2A791_x1,model_3,18.27,51.23,0.2983,0,0,0,0,MYD88_A2A791_x1_model_3_multimer_v2_p1_230330_991359,2,2
MYD88_A2A791_x1,model_4,20.6,54.39,0.3102,0.0784,1e-04,18,22,MYD88_A2A791_x1_model_4_multimer_v2_p1_230330_723988,1,2
MYD88_A2A791_x1,model_5,17.12,50.18,0.302,0.5839,0.0239,114,218,MYD88_A2A791_x1_model_5_multimer_v2_p1_230330_254835,1,2
MYD88_A2A8L1_x1,model_1,19.69,51.86,0.4141,0,0,0,0,MYD88_A2A8L1_x1_model_1_multimer_v2_p1_230328_637613,2,2
MYD88_A2A8L1_x1,model_2,16.27,44.79,0.4169,0,0,0,0,MYD88_A2A8L1_x1_model_2_multimer_v2_p1_230330_807238,2,2
MYD88_A2A8L1_x1,model_3,8.37,50.61,0.4148,0,0,0,0,MYD88_A2A8L1_x1_model_3_multimer_v2_p1_230330_241649,2,2
MYD88_A2A8L1_x1,model_4,7.37,51.62,0.4185,0,0,0,0,MYD88_A2A8L1_x1_model_4_multimer_v2_p1_230330_135085,2,2
MYD88_A2A8L1_x1,model_5,18.88,48.16,0.4265,0.022,1e-04,16,19,MYD88_A2A8L1_x1_model_5_multimer_v2_p1_230330_987467,1,2
MYD88_B7ZMP1_x1,model_1,3.26,83.29,0.6285,0.0668,0.0018,21,15,MYD88_B7ZMP1_x1_model_1_multimer_v2_p1_230329_945970,1,2
MYD88_B7ZMP1_x1,model_2,2.31,84,0.6278,0.0653,0.0022,19,14,MYD88_B7ZMP1_x1_model_2_multimer_v2_p1_230329_027308,1,2
MYD88_B7ZMP1_x1,model_3,1.11,85.1,0.6301,0.0191,8e-04,11,6,MYD88_B7ZMP1_x1_model_3_multimer_v2_p1_230329_725634,2,2
MYD88_B7ZMP1_x1,model_4,0.7,85.26,0.6437,0,0,0,0,MYD88_B7ZMP1_x1_model_4_multimer_v2_p1_230329_978438,2,2
MYD88_B7ZMP1_x1,model_5,1.14,84.71,0.7128,0.5798,0.3828,65,59,MYD88_B7ZMP1_x1_model_5_multimer_v2_p1_230330_842390,1,2
MYD88_D3Z6Q9_x1,model_1,17.83,64.28,0.3532,0,0,0,0,MYD88_D3Z6Q9_x1_model_1_multimer_v2_p1_230328_912850,2,2
MYD88_D3Z6Q9_x1,model_2,8.58,63.95,0.3468,0,0,0,0,MYD88_D3Z6Q9_x1_model_2_multimer_v2_p1_230328_694311,2,2
MYD88_D3Z6Q9_x1,model_3,3.81,62.89,0.3373,0,0,0,0,MYD88_D3Z6Q9_x1_model_3_multimer_v2_p1_230328_289706,2,2
MYD88_D3Z6Q9_x1,model_4,9.48,64,0.3448,0.0014,0,2,1,MYD88_D3Z6Q9_x1_model_4_multimer_v2_p1_230329_060172,2,2
MYD88_D3Z6Q9_x1,model_5,10.66,62,0.3353,0,0,0,0,MYD88_D3Z6Q9_x1_model_5_multimer_v2_p1_230329_046308,2,2
MYD88_E9PYK3_x1,model_1,8.46,60.58,0.5064,0,0,0,0,MYD88_E9PYK3_x1_model_1_multimer_v2_p1_230328_489624,2,2
MYD88_E9PYK3_x1,model_2,28.51,57.45,0.5055,0.0152,0,10,9,MYD88_E9PYK3_x1_model_2_multimer_v2_p1_230329_727383,2,2
MYD88_E9PYK3_x1,model_3,16.76,59.64,0.5167,0,0,0,0,MYD88_E9PYK3_x1_model_3_multimer_v2_p1_230329_748010,2,2
MYD88_E9PYK3_x1,model_4,15.65,61.91,0.4926,0.4087,0.0048,41,78,MYD88_E9PYK3_x1_model_4_multimer_v2_p1_230329_712190,1,2
MYD88_E9PYK3_x1,model_5,18.76,58.04,0.5037,0.0289,1e-04,14,17,MYD88_E9PYK3_x1_model_5_multimer_v2_p1_230329_126009,1,2
MYD88_MYD88_MOUSE_x1,model_1,5.39,76.37,0.3549,0.0508,0.0029,15,14,MYD88_MYD88_MOUSE_x1_model_1_multimer_v2_p1_230329_922687,1,2
MYD88_MYD88_MOUSE_x1,model_2,6.1,72.4,0.3189,0.0014,0,2,1,MYD88_MYD88_MOUSE_x1_model_2_multimer_v2_p1_230329_235018,2,2
MYD88_MYD88_MOUSE_x1,model_3,0.32,74.97,0.3974,0.2313,0.0885,72,75,MYD88_MYD88_MOUSE_x1_model_3_multimer_v2_p1_230329_777456,1,2
MYD88_MYD88_MOUSE_x1,model_4,1.13,72.3,0.3401,0.1471,0.0298,30,39,MYD88_MYD88_MOUSE_x1_model_4_multimer_v2_p1_230329_005682,1,2
MYD88_MYD88_MOUSE_x1,model_5,0.25,75.04,0.4347,0.2991,0.1137,52,47,MYD88_MYD88_MOUSE_x1_model_5_multimer_v2_p1_230329_873460,1,2
MYD88_O08529_x1,model_1,0.35,85.28,0.7035,0.5831,0.3989,58,61,MYD88_O08529_x1_model_1_multimer_v2_p1_230329_784333,1,2
MYD88_O08529_x1,model_2,2.41,82.7,0.644,0.3747,0.0088,36,55,MYD88_O08529_x1_model_2_multimer_v2_p1_230329_961436,1,2
MYD88_O08529_x1,model_3,5.74,82.8,0.6708,0.1418,0.0186,28,25,MYD88_O08529_x1_model_3_multimer_v2_p1_230329_764655,1,2
MYD88_O08529_x1,model_4,0.86,86.33,0.747,0.5574,0.3711,72,83,MYD88_O08529_x1_model_4_multimer_v2_p1_230330_085188,1,2
MYD88_O08529_x1,model_5,2.87,82.38,0.6282,0.1553,0.0153,30,34,MYD88_O08529_x1_model_5_multimer_v2_p1_230330_360390,1,2
MYD88_O08749_x1,model_1,1.66,86.22,0.6082,0,0,0,0,MYD88_O08749_x1_model_1_multimer_v2_p1_230328_240867,2,2
MYD88_O08749_x1,model_2,3.34,86.31,0.619,0.0142,6e-04,9,5,MYD88_O08749_x1_model_2_multimer_v2_p1_230328_973128,2,2
MYD88_O08749_x1,model_3,1.57,86.42,0.65,0.0559,0.0029,16,12,MYD88_O08749_x1_model_3_multimer_v2_p1_230328_324382,1,2
MYD88_O08749_x1,model_4,0.77,87.21,0.6195,0,0,0,0,MYD88_O08749_x1_model_4_multimer_v2_p1_230328_963937,2,2
